,budget,genres,id,keywords,title,overview,popularity,production,runtime,tagline,vote_average,vote_count
0,237000000,action  adventure  fantasy  science fiction,19995,culture clash  future  space war  space colony  society  space travel  futuristic  romance  space  alien  tribe  alien planet  cgi  marine  soldier  battle  love affair  anti war  power relations  mind and soul  3d,avatar,In the 22nd century  a paraplegic Marine is dispatched to the moon Pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization ,150.437577,ingenious film partners  twentieth century fox film corporation  dune entertainment  lightstorm entertainment,162.0,enter the world of pandora ,7.2,11800
1,300000000,adventure  fantasy  action,285,ocean  drug abuse  exotic island  east india trading company  love of one s life  traitor  shipwreck  strong woman  ship  alliance  calypso  afterlife  fighter  pirate  swashbuckler  aftercreditsstinger,pirates of the caribbean  at world s end,Captain Barbossa  long believed to be dead  has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann  But nothing is quite as it seems ,139.082615,walt disney pictures  jerry bruckheimer films  second mate productions,169.0,at the end of the world  the adventure begins ,6.9,4500
2,245000000,action  adventure  crime,206647,spy  based on novel  secret agent  sequel  mi6  british secret service  united kingdom,spectre,A cryptic message from Bond s past sends him on a trail to uncover a sinister organization  While M battles political forces to keep the secret service alive  Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE ,107.376788,columbia pictures  danjaq  b24,148.0,a plan no one escapes,6.3,4466
3,250000000,action  crime  drama  thriller,49026,dc comics  crime fighter  terrorist  secret identity  burglar  hostage drama  time bomb  gotham city  vigilante  cover up  superhero  villainess  tragic hero  terrorism  destruction  catwoman  cat burglar  imax  flood  criminal underworld  batman,the dark knight rises,Following the death of District Attorney Harvey Dent  Batman assumes responsibility for Dent s crimes to protect the late attorney s reputation and is subsequently hunted by the Gotham City Police Department  Eight years later  Batman encounters the mysterious Selina Kyle and the villainous Bane  a new terrorist leader who overwhelms Gotham s finest  The Dark Knight resurfaces to protect a city that has branded him an enemy ,112.31295,legendary pictures  warner bros   dc entertainment  syncopy,165.0,the legend ends,7.6,9106
4,260000000,action  adventure  science fiction,49529,based on novel  mars  medallion  space travel  princess  alien  steampunk  martian  escape  edgar rice burroughs  alien race  superhuman strength  mars civilization  sword and planet  19th century  3d,john carter,John Carter is a war weary  former military captain who s inexplicably transported to the mysterious and exotic planet of Barsoom  Mars  and reluctantly becomes embroiled in an epic conflict  It s a world on the brink of collapse  and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands ,43.926995,walt disney pictures,132.0,lost in our world  found in another ,6.1,2124
5,258000000,fantasy  action  adventure,559,dual identity  amnesia  sandstorm  love of one s life  forgiveness  spider  wretch  death of a friend  egomania  sand  narcism  hostility  marvel comic  sequel  superhero  revenge,spider man 3,The seemingly invincible Spider Man goes up against an all new crop of villain   including the shape shifting Sandman  While Spider Man s superpowers are altered by an alien organism  his alter ego  Peter Parker  deals with nemesis Eddie Brock and also gets caught up in a love triangle ,115.699814,columbia pictures  laura ziskin productions  marvel enterprises,139.0,the battle within ,5.9,3576
6,260000000,animation  family,38757,hostage  magic  horse  fairy tale  musical  princess  animation  tower  blonde woman  selfishness  healing power  based on fairy tale  duringcreditsstinger  healing gift  animal sidekick,tangled,When the kingdom s most wanted and most charming bandit Flynn Rider hides out in a mysterious tower  he s taken hostage by Rapunzel  a beautiful and feisty tower bound teen with 70 feet of magical  golden hair  Flynn s curious captor  who s looking for her ticket out of the tower where she s been locked away for years  strikes a deal with the handsome thief and the unlikely duo sets off on an action packed escapade  complete with a super cop horse  an over protective chameleon and a gruff gang of pub thugs ,48.681969,walt disney pictures  walt disney animation studios,100.0,they re taking adventure to new lengths ,7.4,3330
7,280000000,action  adventure  science fiction,99861,marvel comic  sequel  superhero  based on comic book  vision  superhero team  duringcreditsstinger  marvel cinematic universe  3d,avengers  age of ultron,When Tony Stark tries to jumpstart a dormant peacekeeping program  things go awry and Earth s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance  As the villainous Ultron emerges  it is up to The Avengers to stop him from enacting his terrible plans  and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure ,134.279229,marvel studios  prime focus  revolution sun studios,141.0,a new age has come ,7.3,6767
8,250000000,adventure  fantasy  family,767,witch  magic  broom  school of witchcraft  wizardry  apparition  teenage crush  werewolf,harry potter and the half blood prince,As Harry begins his sixth year at Hogwarts  he discovers an old book marked as  Property of the Half Blood Prince   and begins to learn more about Lord Voldemort s dark past ,98.885637,warner bros   heyday films,153.0,dark secrets revealed,7.4,5293
9,250000000,action  adventure  fantasy,209112,dc comics  vigilante  superhero  based on comic book  revenge  super powers  clark kent  bruce wayne  dc extended universe,batman v superman  dawn of justice,Fearing the actions of a god like Super Hero left unchecked  Gotham City s own formidable  forceful vigilante takes on Metropolis s most revered  modern day savior  while the world wrestles with what sort of hero it really needs  And with Batman and Superman at war with one another  a new threat quickly arises  putting mankind in greater danger than it s ever known before ,155.790452,dc comics  atlas entertainment  warner bros   dc entertainment  cruel   unusual films  ratpac dune entertainment,151.0,justice or revenge,5.7,7004
11,200000000,adventure  action  thriller  crime,10764,killing  undercover  secret agent  british secret service,quantum of solace,Quantum of Solace continues the adventures of James Bond after Casino Royale  Betrayed by Vesper  the woman he loved  007 fights the urge to make his latest mission personal  Pursuing his determination to uncover the truth  Bond and M interrogate Mr  White  who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined ,107.928811,eon productions,106.0,for love  for hate  for justice  for revenge ,6.1,2965
12,200000000,adventure  fantasy  action,58,witch  fortune teller  bondage  exotic island  monster  captain  card game  east india trading company  compass  ship  daughter  pirate  swashbuckler  aftercreditsstinger,pirates of the caribbean  dead man s chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones  he also attempts to avoid eternal damnation ,145.847379,walt disney pictures  jerry bruckheimer films  second mate productions,151.0,jack is back ,7.0,5246
13,255000000,action  adventure  western,57201,texas  horse  survivor  texas ranger  partner  outlaw  escape  lawyer  train  lone ranger  comanche  the lone ranger  tonto,the lone ranger,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish  but the gang ambushes the Rangers  seemingly killing them all  One survivor is found  however  by an American Indian named Tonto  who nurses him back to health  The Ranger  donning a mask and riding a white stallion named Silver  teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice ,49.046956,walt disney pictures  jerry bruckheimer films  infinitum nihil  silver bullet productions  ii   blind wink productions  classic media,149.0,never take off the mask,5.9,2311
14,225000000,action  adventure  fantasy  science fiction,49521,saving the world  dc comics  superhero  based on comic book  superhuman  alien invasion  reboot  super powers  dc extended universe,man of steel,A young boy learns that he has extraordinary powers and is not of this earth  As a young man  he journeys to discover where he came from and what he was sent here to do  But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind ,99.398009,legendary pictures  warner bros   dc entertainment  syncopy  cruel and unusual films,143.0,you will believe that a man can fly ,6.5,6359
16,220000000,science fiction  action  adventure,24428,new york  shield  marvel comic  superhero  based on comic book  alien invasion  superhero team  aftercreditsstinger  duringcreditsstinger  marvel cinematic universe,the avengers,When an unexpected enemy emerges and threatens global safety and security  Nick Fury  director of the international peacekeeping agency known as S H I E L D   finds himself in need of a team to pull the world back from the brink of disaster  Spanning the globe  a daring recruitment effort begins ,144.448633,paramount pictures  marvel studios,143.0,some assembly required ,7.4,11776
